# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.0,3.0,7.154347487650482,0,3.0,0.17288527153957262,0.0,0.0,0.002474007536567067
 0.09112430362261309,1.012358482986163,3.0015512362541155,7.154347487650482,0.27337291086783927,3.0,0.17288527153957262,0.00022544221392677046,3.2809084690272603,0.01807798881230236
 0.12853394298366427,1.024585202946736,3.003112545250631,7.27708509025341,0.3856018289509929,3.0000000000000013,0.17806914239779625,0.0009017332557681198,4.392972878672262,0.03957581157148714
 0.15701176897908659,1.0366811329329768,3.004684001848919,7.402187407494849,0.47103530693725976,2.9999999999999982,0.18341081525039923,0.0020287663313285514,5.353502477084962,0.0662348394591476
 0.18083000648934733,1.0486472459961442,3.0062656809083514,7.5296984010058265,0.542490019468042,3.0,0.1889148213863112,0.003606363469020519,6.242779452543297,0.09740992929889329
 0.201648336751398,1.0604845151874964,3.0078576572883,7.659662645402016,0.604945010254194,2.9999999999999987,0.1945857853363928,0.0056342755479678866,7.094172661536139,0.13270680740366386
 0.2203203765499298,1.0721939135582923,3.009460005848137,7.792125319675876,0.6609611296497895,3.0000000000000044,0.2004284236230158,0.008112182337345192,7.925598804917115,0.17185992208025722
 0.23735465757464197,1.0837764141597896,3.0110728014472334,7.927132197007957,0.712063972723926,3.0,0.20644754253188374,0.011039692546945428,8.748115812632063,0.2146794144962366
 0.25308346580689917,1.0952329900432471,3.012696118944963,8.064729633018423,0.7592503974206977,3.000000000000007,0.21264803585999606,0.01441634388896999,9.569207354312478,0.2610241392002356
 0.2677382761772306,1.1065646142599235,3.0143300332006957,8.204964552190255,0.803214828531692,3.0,0.21903488172150365,0.018241603151028442,10.3942923187504,0.310786337164874
 0.28148811849106364,1.117772259861077,3.0159746190738055,8.347884432536958,0.8444643554731911,3.0,0.22561313915237896,0.022514866280339205,11.227507253922052,0.3638822110025742
 0.2944609763446315,1.1288568998979658,3.017629951423663,8.493537288191991,0.8833829290338945,2.9999999999999916,0.23238794444832295,0.027235458479117576,12.072148338720718,0.4202457731139137
 0.30675658087558716,1.1398195074218482,3.019296105109641,8.641971650003935,0.9202697426267614,2.999999999999991,0.23936450591528674,0.03240263431113199,12.930937710178133,0.47982463779385687
 0.3184544868732742,1.1506610554839831,3.020973154991111,8.793236543799544,0.9553634606198225,2.9999999999999907,0.2465480991933279,0.038015577819418764,13.806192293865601,0.5425770318074734
 0.3296193989144859,1.1613825171356287,3.0226611759274453,8.94738146638461,0.9888581967434574,2.999999999999995,0.2539440608395542,0.04407340265513091,14.699935229584439,0.608469602497817
 0.3403048128376807,1.1719848654280434,3.0243602427780156,9.104456358956872,1.020914438513042,3.0000000000000053,0.2615577819011323,0.05057515221750191,15.613971887129315,0.6774757667874838
 0.3505555818361568,1.1824690734124856,3.0260704304021946,9.264511577920535,1.0516667455084703,3.0,0.2693947000562959,0.057519799804905875,16.549943126234147,0.7495744380387903
 0.36040977189018736,1.1928361141402137,3.0277918136593533,9.427597862869842,1.081229315670562,3.0,0.27746029158459984,0.06490624877698326,17.509363447429973,0.8247490235470948
 0.36990003344535627,1.203086960662486,3.029524467408864,9.593766301650467,1.1097001003360687,3.0000000000000058,0.28576006164359186,0.07273333272781535,18.49364879117009,0.9029866200161407
 0.37905463525124855,1.2132225860305614,3.0312684665100993,9.76306829227165,1.1371639057537455,2.999999999999994,0.29429953420063343,0.08099981567011168,19.50413706940058,0.9842773565099733
 0.3878982569222175,1.2232439632956977,3.0330238858224305,9.93555550153215,1.1636947707666523,2.9999999999999876,0.3030842405242173,0.08970439223038733,20.542103469640367,1.0686138489652275
 0.39645260574856056,1.2331520655091541,3.0347908002052306,10.111279820238286,1.1893578172456813,2.9999999999999933,0.3121197067524037,0.09884568785509694,21.608771894462798,1.1559907402120413
 0.4047369032255792,1.242947865722188,3.0365692845178702,10.290293314725055,1.2142107096767372,2.9999999999999867,0.32141144031127017,0.10842225902769247,22.70532352142697,1.2464043062621195
 0.41276827347886236,1.2526323369860584,3.038359413619722,10.472648174646215,1.2383048204365865,2.9999999999999862,0.33096491481633383,0.11843259349657008,23.83290312410761,1.3398521144315323
 0.4205620567664562,1.2622064523520238,3.0401612623701575,10.658396656709728,1.261686170299368,3.0,0.34078555393000953,0.12887511051387382,24.992623665515975,1.4363327223055313
 0.42813206502595386,1.2716711848713422,3.0419749056285497,10.8475910242842,1.284396195077861,3.0000000000000075,0.35087871376137836,0.13974816108511345,26.18556949110808,1.535845409072375
 0.43549079206819685,1.2810275075952726,3.0438004182542695,11.040283482614951,1.30647237620459,2.9999999999999925,0.36124966383451623,0.1510500282295591,27.412798397143497,1.6383899326123539
 0.4426495879008305,1.290276393575073,3.04563787510669,11.236526109541247,1.327948763702491,3.0000000000000075,0.3719035663350247,0.1627789272513733,28.675342737431674,1.7439663071227796
 0.4496188044048542,1.299418815862002,3.0474873510451825,11.436370781405493,1.348856413214562,2.999999999999984,0.38284545410812076,0.17493300602143466,29.974209745318436,1.8525745971258556
 0.4564079179271327,1.3084557475073177,3.049348920929119,11.639869094107045,1.3692237537813974,2.9999999999999836,0.3940802066198429,0.18751034526981147,31.310381143889597,1.9642147245183488
 0.4630256331172121,1.317388161562279,3.0512226596178715,11.84707227901014,1.3890768993516356,2.9999999999999916,0.4056125246255069,0.20050895888883422,32.68481214180765,2.0788862859646935
