# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-116.85457075427338,70.0,1.3964348025287583,0.7161093365684761,0.0,0.0
 0.07144561428118058,0.005104475800015234,0.07144561428118058,1.0,-116.85457075427338,70.08,1.3964348025287583,0.7161093365684761,0.0,0.0
 0.10050620284132393,0.010101496809581351,0.17195181712250457,3.4585054130379325,-117.25868106567242,70.16,1.4713079512328615,0.679667366143209,-13.905785513005103,-478.51011290517744
 0.12244299123913958,0.014992286103588014,0.22294919408046351,2.3247421652221885,-117.67545188377606,70.24,1.551063124140738,0.6447190861777354,-18.99871624531531,-232.1639175230106
 0.14063454141590556,0.019778074239262054,0.26307753265504497,2.2058779040080303,-118.10542856679996,70.32,1.636065769484472,0.6112223717724393,-23.636066132124096,-254.91779654553852
 0.1563972495805894,0.024460099676373172,0.2970317909964952,2.1540878627394964,-118.54918450596797,70.4,1.7267109972409667,0.5791357103753059,-28.152265114077537,-286.51161556565086
 0.17041012066279032,0.029039609224306755,0.32680737024337947,2.124873558902934,-119.00732261688728,70.48,1.8234259859864852,0.5484182016079987,-32.694093040022196,-324.1182980491174
 0.18307883142994924,0.033517858517755766,0.35348895209273945,2.106100797448672,-119.48047688780349,70.56,1.9266725476474724,0.5190295575763673,-37.34825742038166,-367.3747444313312
 0.19466923876894554,0.03789611252288073,0.3777480701988949,2.0930341269831696,-119.96931398051251,70.64,2.0369498512956485,0.4909301028515391,-42.176006279288835,-416.52969716293444
 0.20536710076315867,0.04217564607586536,0.4000363395321037,2.0834321236584814,-120.47453487838112,70.72,2.154797298707736,0.46408077483655413,-47.22634280960937,-472.0883979483425
 0.2153084867251641,0.046357744455880145,0.42067558748832196,2.0760936186461882,-120.9968765734411,70.8,2.2807975430141374,0.4384431240128715,-52.542140206235096,-534.7139138287106
 0.22459675864655598,0.0504437039945393,0.4399052453717193,2.070315990546033,-121.53711378224051,70.88,2.4155796318552647,0.413979314452142,-58.163371332312416,-605.1966580705948
 0.233312735880396,0.0544348327239954,0.457909494526952,2.0656604156021316,-122.0960606767265,70.96,2.5598222511343676,0.39065212420778705,-64.12899890512134,-684.4473560173168
 0.24152111929573664,0.05833245106586542,0.4748338551761317,2.0618384635334857,-122.67457261309309,71.04,2.714257029887638,0.3684249461228795,-70.47818152419883,-773.4997621104685
 0.24927473310224943,0.06213789256319766,0.4907958523979867,2.0586525999589256,-123.27354783642117,71.12,2.8796718580555303,0.3472617885967188,-77.25110358539557,-873.5181078412355
 0.2566174285929897,0.06585250465767813,0.5058921616952374,2.0559628703503265,-123.89392913429323,71.2,3.0569141489467158,0.3271272764871588,-84.4895854191956,-985.8071661732874
 0.2635861330082536,0.06947764951424473,0.5202035616012436,2.0536672318399867,-124.53670540589263,71.28,3.246893956299087,0.3079866523081129,-92.23755712633032,-1111.8238406214957
 0.2702123329812399,0.07301470489516444,0.5337984659894933,2.051689421338542,-125.20291310567782,71.36,3.4505868323457323,0.2898057775639842,-100.54144192767764,-1253.189586067521
 0.27652317278210703,0.076465065085483,0.5467355057633493,2.049971189583741,-125.89363751214627,71.44,3.669036281721699,0.27255113419885535,-109.45047382973357,-1411.7030669724531
 0.28254228333390285,0.0798301418715354,0.5590654561160084,2.048467169120273,-126.61001376242078,71.52,3.903355622389073,0.2561898265851431,-119.01696174375515,-1589.3524187169794
 0.2882904188034181,0.08311136557385017,0.5708327021373201,2.0471413876235567,-127.35322758064987,71.6,4.154729034281403,0.24068958330346535,-129.29650356549084,-1788.3262975015748
 0.2938742883788811,0.08631018613539664,0.5728680654725435,0.3645076783611506,-128.12451561689716,71.68,4.424411499377335,0.22601875981488928,-138.1278745543296,-1581.586186691426
 0.29940615232829737,0.08942807426547911,0.5636234293888341,-1.6711611435572034,-128.92516529507813,71.76,4.713727307490567,0.21214634083963738,-144.73415931811778,-1194.224012773359
 0.30490468048270675,0.09246652263892133,0.5525930372850105,-2.0060626760596163,-129.75651405492556,71.84,5.024066694402221,0.1990419436736763,-151.19478094892546,-1174.9729108191932
 0.31037064892386995,0.09542704714916309,0.5416285406894397,-2.0059568059338306,-130.61994785021548,71.92,5.356880137589212,0.18667582143251682,-157.96538245401496,-1238.682875316541
 0.3158049573263164,0.09831118821279629,0.5307282638458272,-2.005825955462027,-131.51689874819263,72.0,5.7136697126852525,0.17501886708289097,-165.05336678598266,-1304.3029226638623
 0.32120864359500423,0.10112051212156,0.5198902691746942,-2.00566689704671,-132.44884144975546,72.08,6.095976849008666,0.16404261774101406,-172.46425036980384,-1371.4496392516821
 0.32658290026397946,0.10385661243609685,0.5091123262370316,-2.0054760316681515,-133.4172885285144,72.16,6.505365706576343,0.15371925962426516,-180.20112145920316,-1439.616967693987
 0.3319290928902946,0.10652111141361814,0.4983918769417391,-2.0052493511969844,-134.4237841614659,72.24,6.943401319919276,0.14402163347971741,-188.2640045548075,-1508.1542434361727
 0.3372487807153612,0.10911566145911639,0.4877259964903614,-2.004982397861695,-135.46989610167222,72.32000000000001,7.411621559270928,0.13492324075142995,-196.6491220174648,-1576.2423921092322
 0.3425437399118618,0.11164194658674101,0.4771113494687944,-2.0046702207983156,-136.5572056207879,72.4,7.911501922839496,0.12639825026309198,-205.34804495457655,-1642.8687387923046
